trade_num,entry_time,entry_price,position_btc,exit_time,exit_price,exit_type,p_l,winner
1,2026-02-14 13:00:00,69661.09206,0.003168636653340284,2026-02-15 07:00:00,70829.946099618,TP,3.262212373112406,1
2,2026-02-16 13:00:00,69784.168972,0.002422176627490455,2026-02-16 13:00:00,69243.95776512983,SL,-1.6465461252949782,0
3,2026-02-21 17:00:00,68343.106783,0.004239818105668452,2026-02-21 22:00:00,68026.9159411008,SL,-1.9201163394031502,0
4,2026-02-26 20:00:00,67609.48676300001,0.001851834183662519,2026-02-27 10:00:00,66914.81086702825,SL,-1.5368276881820884,0
5,2026-03-02 15:00:00,67197.203115,0.0016233535057600568,2026-03-02 22:00:00,69449.8146679345,TP,3.43861523106381,1
6,2026-03-03 16:00:00,67746.13774600001,0.0015032245357065965,2026-03-04 08:00:00,70193.95990412381,TP,3.475951014219681,1
7,2026-03-09 20:00:00,69012.62757899999,0.001592637998503815,2026-03-10 14:00:00,71340.4232872737,TP,3.487511631633,1
8,2026-03-11 04:00:00,69572.775573,0.0016345441122995908,2026-03-13 09:00:00,71857.1125272719,TP,3.5064099777351156,1
9,2026-03-24 09:00:00,70985.449248,0.0025307347688502515,2026-03-24 13:00:00,70458.4570105899,SL,-1.692968267116665,0
10,2026-03-25 01:00:00,70862.002225,0.00188960391032263,2026-03-26 05:00:00,70165.70648196108,SL,-1.583525391782649,0
11,2026-04-01 13:00:00,68414.11808,0.002439908895603142,2026-04-02 01:00:00,67872.42881243315,SL,-1.6555208931655785,0
